Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-01-22,0.040113740057342,0.0447696838009671,0.0355769927636286,0.0376069769263267,2714688000,0.0,0.0
1999-01-25,0.0405914263015782,0.0420236004270338,0.0376069662367655,0.0415468215942382,510480000,0.0,0.0
1999-01-26,0.042023603336535,0.0428598022710585,0.0377261618491007,0.0383230559527874,343200000,0.0,0.0
1999-01-27,0.0384422547585401,0.0393976502614216,0.0362930776995896,0.0382038652896881,244368000,0.0,0.0
1999-01-28,0.0382038588493868,0.0384422482780518,0.0378453576006394,0.0380837470293045,227520000,0.0,0.0
1999-01-29,0.0380837539890753,0.0382038658311079,0.0362930782139301,0.0362930782139301,244032000,0.0,0.0
1999-02-01,0.036293089437988,0.0372484818342108,0.036293089437988,0.0370100922882556,154704000,0.0,0.0
1999-02-02,0.0362930921662418,0.0372484846342842,0.0330702372755739,0.0341448262333869,264096000,0.0,0.0
1999-02-03,0.0336671127251321,0.0353385917564971,0.0334278044820795,0.0348608940839767,75120000,0.0,0.0
1999-02-04,0.0353385980399026,0.0377261680134432,0.0348609002824448,0.0367707759141922,181920000,0.0,0.0
1999-02-05,0.0373676605733852,0.0382038595074478,0.0364131840287026,0.0378453582525253,136848000,0.0,0.0
1999-02-08,0.0380837504473886,0.0382038622782512,0.0365323796868324,0.0365323796868324,154080000,0.0,0.0
1999-02-09,0.0372484751291099,0.0374868680478175,0.0346215999419633,0.0350992977619171,86976000,0.0,0.0
1999-02-10,0.0350992892970351,0.0360546812908661,0.0341448092855226,0.0347417034208774,148224000,0.0,0.0
1999-02-11,0.0348609102177051,0.0391583536320877,0.0348609102177051,0.0377261787652969,132240000,0.0,0.0
1999-02-12,0.0382038858943335,0.0401137591164188,0.0382038858943335,0.0398753695189952,109728000,0.0,0.0
1999-02-16,0.0405914336771617,0.0422629163362629,0.0360546834329873,0.0401137359440326,211008000,0.0,0.0
1999-02-17,0.039158352845079,0.0396360507290785,0.0372484801230726,0.0379645675420761,67728000,0.0,0.0
1999-02-18,0.0391583467562948,0.0396360445660164,0.0374868672448584,0.0385614559054374,70704000,0.0,0.0
1999-02-19,0.0382038858943335,0.0405914571254982,0.0377261878852541,0.0398753695189952,75360000,0.0,0.0
1999-02-22,0.0405914336771617,0.0410691314102908,0.0379645555518023,0.0401137359440326,205248000,0.0,0.0
1999-02-23,0.0410691409011175,0.0428598169960577,0.0386815704974205,0.0420236177742481,138096000,0.0,0.0
